start_time,end_time,usage,source
2022-09-28T04:15:00Z,2022-09-28T04:29:00Z,0.36,real
2022-09-28T04:30:00Z,2022-09-28T04:44:00Z,0.35,real
2022-09-28T04:45:00Z,2022-09-28T04:59:00Z,0.35,real
2022-09-28T05:00:00Z,2022-09-28T05:14:00Z,0.35,real
2022-09-28T05:15:00Z,2022-09-28T05:29:00Z,0.34,real
2022-09-28T05:30:00Z,2022-09-28T05:44:00Z,0.36,real
2022-09-28T05:45:00Z,2022-09-28T05:59:00Z,0.34,real
2022-09-28T06:00:00Z,2022-09-28T06:14:00Z,0.34,real
2022-09-28T06:15:00Z,2022-09-28T06:29:00Z,0.35,real
2022-09-28T06:30:00Z,2022-09-28T06:44:00Z,0.34,real
2022-09-28T06:45:00Z,2022-09-28T06:59:00Z,0.33,real
2022-09-28T07:00:00Z,2022-09-28T07:14:00Z,0.35,real
2022-09-28T07:15:00Z,2022-09-28T07:29:00Z,0.33,real
2022-09-28T07:30:00Z,2022-09-28T07:44:00Z,0.34,real
2022-09-28T07:45:00Z,2022-09-28T07:59:00Z,0.35,real
2022-09-28T08:00:00Z,2022-09-28T08:14:00Z,0.34,real
2022-09-28T08:15:00Z,2022-09-28T08:29:00Z,0.36,real
2022-09-28T08:30:00Z,2022-09-28T08:44:00Z,0.35,real
2022-09-28T08:45:00Z,2022-09-28T08:59:00Z,0.08,real
2022-09-28T09:00:00Z,2022-09-28T09:14:00Z,0.04,real
2022-09-28T09:15:00Z,2022-09-28T09:29:00Z,0.04,real
2022-09-28T09:30:00Z,2022-09-28T09:44:00Z,0.02,real
2022-09-28T09:45:00Z,2022-09-28T09:59:00Z,0.15,real
2022-09-28T10:00:00Z,2022-09-28T10:14:00Z,0.35,real
2022-09-28T10:15:00Z,2022-09-28T10:29:00Z,0.35,real
2022-09-28T10:30:00Z,2022-09-28T10:44:00Z,0.35,real
2022-09-28T10:45:00Z,2022-09-28T10:59:00Z,0.35,real
2022-09-28T11:00:00Z,2022-09-28T11:14:00Z,0.35,real
2022-09-28T11:15:00Z,2022-09-28T11:29:00Z,0.34,real
2022-09-28T11:30:00Z,2022-09-28T11:44:00Z,0.34,real
2022-09-28T11:45:00Z,2022-09-28T11:59:00Z,0.33,real
2022-09-28T12:00:00Z,2022-09-28T12:14:00Z,0.34,real
2022-09-28T12:15:00Z,2022-09-28T12:29:00Z,0.33,real
2022-09-28T12:30:00Z,2022-09-28T12:44:00Z,0.34,real
2022-09-28T12:45:00Z,2022-09-28T12:59:00Z,0.36,real
2022-09-28T13:00:00Z,2022-09-28T13:14:00Z,0.34,real
2022-09-28T13:15:00Z,2022-09-28T13:29:00Z,0.36,real
2022-09-28T13:30:00Z,2022-09-28T13:44:00Z,0.34,real
2022-09-28T13:45:00Z,2022-09-28T13:59:00Z,0.34,real
2022-09-28T14:00:00Z,2022-09-28T14:14:00Z,0.36,real
2022-09-28T14:15:00Z,2022-09-28T14:29:00Z,0.34,real
2022-09-28T14:30:00Z,2022-09-28T14:44:00Z,0.35,real
2022-09-28T14:45:00Z,2022-09-28T14:59:00Z,0.2,real
2022-09-28T15:00:00Z,2022-09-28T15:14:00Z,0.04,real
2022-09-28T15:15:00Z,2022-09-28T15:29:00Z,0.05,real
2022-09-28T15:30:00Z,2022-09-28T15:44:00Z,0.04,real
2022-09-28T15:45:00Z,2022-09-28T15:59:00Z,0.04,real
2022-09-29T14:30:00Z,2022-09-29T14:45:00Z,0.031,projected
2022-09-29T14:45:00Z,2022-09-29T15:00:00Z,0.0425,projected
2022-09-29T15:00:00Z,2022-09-29T15:15:00Z,0.167,projected
2022-09-29T15:15:00Z,2022-09-29T15:30:00Z,0.227,projected
2022-09-29T15:30:00Z,2022-09-29T15:45:00Z,0.0865,projected
2022-09-29T15:45:00Z,2022-09-29T16:00:00Z,0.0665,projected
2022-09-29T16:00:00Z,2022-09-29T16:15:00Z,0.0955,projected
2022-09-29T16:15:00Z,2022-09-29T16:30:00Z,0.341,projected
